C:\ProgramData\Anaconda3\python.exe D:/pycharmproject/DECRA/decra.py
use cuda: True
MNIST samples (70000, 784)
Namespace(batch_size=256, cuda=True, dataset='mnist', gamma=0.1, lr=0.001, n_clusters=10, n_input=784, n_z=10, pretrain_path='data/ae_mnist.pkl', tol=0.0001, update_interval=1)
load pretrained ae from data/ae_mnist.pkl
nmi score=0.7752
Iter 144 :Acc 0.9593 , nmi 0.9098 , ari 0.9139
Iter 145 :Acc 0.9594 , nmi 0.9100 , ari 0.9140
Iter 146 :Acc 0.9594 , nmi 0.9102 , ari 0.9141
Iter 147 :Acc 0.9598 , nmi 0.9104 , ari 0.9147
Iter 148 :Acc 0.9598 , nmi 0.9103 , ari 0.9147
Iter 149 :Acc 0.9598 , nmi 0.9105 , ari 0.9149
Iter 150 :Acc 0.9599 , nmi 0.9105 , ari 0.9149
Iter 151 :Acc 0.9593 , nmi 0.9099 , ari 0.9139
Iter 152 :Acc 0.9592 , nmi 0.9096 , ari 0.9135
Iter 153 :Acc 0.9596 , nmi 0.9104 , ari 0.9144
Iter 154 :Acc 0.9595 , nmi 0.9101 , ari 0.9141
Iter 155 :Acc 0.9597 , nmi 0.9106 , ari 0.9145
Iter 156 :Acc 0.9598 , nmi 0.9107 , ari 0.9148
Iter 157 :Acc 0.9602 , nmi 0.9112 , ari 0.9156
Iter 158 :Acc 0.9601 , nmi 0.9111 , ari 0.9154
Iter 159 :Acc 0.9600 , nmi 0.9109 , ari 0.9152
Iter 160 :Acc 0.9601 , nmi 0.9111 , ari 0.9153
Iter 161 :Acc 0.9601 , nmi 0.9110 , ari 0.9154
Iter 162 :Acc 0.9597 , nmi 0.9104 , ari 0.9145
Iter 163 :Acc 0.9600 , nmi 0.9109 , ari 0.9151
Iter 164 :Acc 0.9599 , nmi 0.9107 , ari 0.9149
Iter 165 :Acc 0.9600 , nmi 0.9111 , ari 0.9152
Iter 166 :Acc 0.9603 , nmi 0.9113 , ari 0.9158
Iter 167 :Acc 0.9602 , nmi 0.9115 , ari 0.9156
Iter 168 :Acc 0.9598 , nmi 0.9109 , ari 0.9149
Iter 169 :Acc 0.9604 , nmi 0.9117 , ari 0.9160
Iter 170 :Acc 0.9605 , nmi 0.9119 , ari 0.9162
Iter 171 :Acc 0.9605 , nmi 0.9118 , ari 0.9162
Iter 172 :Acc 0.9605 , nmi 0.9116 , ari 0.9161
Iter 173 :Acc 0.9606 , nmi 0.9118 , ari 0.9163
Iter 174 :Acc 0.9605 , nmi 0.9117 , ari 0.9162
Iter 175 :Acc 0.9603 , nmi 0.9114 , ari 0.9158
Iter 176 :Acc 0.9605 , nmi 0.9119 , ari 0.9162
Iter 177 :Acc 0.9605 , nmi 0.9115 , ari 0.9162
Iter 178 :Acc 0.9604 , nmi 0.9116 , ari 0.9160
Iter 179 :Acc 0.9601 , nmi 0.9110 , ari 0.9153
Iter 180 :Acc 0.9603 , nmi 0.9115 , ari 0.9157
Iter 181 :Acc 0.9604 , nmi 0.9116 , ari 0.9160
Iter 182 :Acc 0.9606 , nmi 0.9119 , ari 0.9164
Iter 183 :Acc 0.9604 , nmi 0.9116 , ari 0.9160
Iter 184 :Acc 0.9607 , nmi 0.9119 , ari 0.9165
Iter 185 :Acc 0.9607 , nmi 0.9119 , ari 0.9165
Iter 186 :Acc 0.9605 , nmi 0.9115 , ari 0.9162
Iter 187 :Acc 0.9602 , nmi 0.9112 , ari 0.9155
Iter 188 :Acc 0.9602 , nmi 0.9113 , ari 0.9156
Iter 189 :Acc 0.9604 , nmi 0.9116 , ari 0.9159
Iter 190 :Acc 0.9607 , nmi 0.9121 , ari 0.9166
Iter 191 :Acc 0.9605 , nmi 0.9118 , ari 0.9162
Iter 192 :Acc 0.9607 , nmi 0.9120 , ari 0.9166
Iter 193 :Acc 0.9608 , nmi 0.9122 , ari 0.9168
Iter 194 :Acc 0.9608 , nmi 0.9121 , ari 0.9168
Iter 195 :Acc 0.9608 , nmi 0.9122 , ari 0.9168
Iter 196 :Acc 0.9611 , nmi 0.9125 , ari 0.9173
Iter 197 :Acc 0.9609 , nmi 0.9122 , ari 0.9169
Iter 198 :Acc 0.9609 , nmi 0.9123 , ari 0.9170
Iter 199 :Acc 0.9607 , nmi 0.9121 , ari 0.9165
Iter 200 :Acc 0.9609 , nmi 0.9125 , ari 0.9171
Iter 201 :Acc 0.9608 , nmi 0.9121 , ari 0.9168
Iter 202 :Acc 0.9609 , nmi 0.9124 , ari 0.9169
Iter 203 :Acc 0.9607 , nmi 0.9121 , ari 0.9165
Iter 204 :Acc 0.9608 , nmi 0.9121 , ari 0.9168
Iter 205 :Acc 0.9607 , nmi 0.9121 , ari 0.9165
Iter 206 :Acc 0.9608 , nmi 0.9123 , ari 0.9167
Iter 207 :Acc 0.9607 , nmi 0.9121 , ari 0.9166
Iter 208 :Acc 0.9609 , nmi 0.9123 , ari 0.9169
Iter 209 :Acc 0.9607 , nmi 0.9120 , ari 0.9166
Iter 210 :Acc 0.9607 , nmi 0.9121 , ari 0.9165
Iter 211 :Acc 0.9608 , nmi 0.9122 , ari 0.9168
Iter 212 :Acc 0.9610 , nmi 0.9125 , ari 0.9172
Iter 213 :Acc 0.9608 , nmi 0.9124 , ari 0.9168
Iter 214 :Acc 0.9609 , nmi 0.9125 , ari 0.9170
Iter 215 :Acc 0.9609 , nmi 0.9121 , ari 0.9169
Iter 216 :Acc 0.9609 , nmi 0.9123 , ari 0.9170
Iter 217 :Acc 0.9611 , nmi 0.9127 , ari 0.9174
Iter 218 :Acc 0.9611 , nmi 0.9126 , ari 0.9174
Iter 219 :Acc 0.9610 , nmi 0.9125 , ari 0.9171
Iter 220 :Acc 0.9610 , nmi 0.9124 , ari 0.9172
Iter 221 :Acc 0.9610 , nmi 0.9123 , ari 0.9171
Iter 222 :Acc 0.9610 , nmi 0.9125 , ari 0.9172
Iter 223 :Acc 0.9610 , nmi 0.9123 , ari 0.9171
Iter 224 :Acc 0.9611 , nmi 0.9126 , ari 0.9173
Iter 225 :Acc 0.9611 , nmi 0.9126 , ari 0.9174
Iter 226 :Acc 0.9613 , nmi 0.9129 , ari 0.9177
Iter 227 :Acc 0.9611 , nmi 0.9126 , ari 0.9174
Iter 228 :Acc 0.9612 , nmi 0.9129 , ari 0.9176
Iter 229 :Acc 0.9613 , nmi 0.9129 , ari 0.9177
Iter 230 :Acc 0.9613 , nmi 0.9130 , ari 0.9178
Iter 231 :Acc 0.9613 , nmi 0.9130 , ari 0.9178
Iter 232 :Acc 0.9612 , nmi 0.9127 , ari 0.9176
Iter 233 :Acc 0.9616 , nmi 0.9133 , ari 0.9183
Iter 234 :Acc 0.9613 , nmi 0.9130 , ari 0.9178
Iter 235 :Acc 0.9614 , nmi 0.9130 , ari 0.9180
Iter 236 :Acc 0.9614 , nmi 0.9131 , ari 0.9179
Iter 237 :Acc 0.9613 , nmi 0.9130 , ari 0.9178
Iter 238 :Acc 0.9612 , nmi 0.9129 , ari 0.9175
Iter 239 :Acc 0.9612 , nmi 0.9129 , ari 0.9176
Iter 240 :Acc 0.9613 , nmi 0.9130 , ari 0.9179
Iter 241 :Acc 0.9614 , nmi 0.9132 , ari 0.9180
Iter 242 :Acc 0.9614 , nmi 0.9131 , ari 0.9180
Iter 243 :Acc 0.9616 , nmi 0.9134 , ari 0.9183
Iter 244 :Acc 0.9615 , nmi 0.9133 , ari 0.9182
Iter 245 :Acc 0.9613 , nmi 0.9129 , ari 0.9178
Iter 246 :Acc 0.9614 , nmi 0.9132 , ari 0.9179
Iter 247 :Acc 0.9614 , nmi 0.9131 , ari 0.9179
Iter 248 :Acc 0.9615 , nmi 0.9132 , ari 0.9181
Iter 249 :Acc 0.9612 , nmi 0.9128 , ari 0.9176
Iter 250 :Acc 0.9615 , nmi 0.9132 , ari 0.9182
Iter 251 :Acc 0.9616 , nmi 0.9132 , ari 0.9183
Iter 252 :Acc 0.9616 , nmi 0.9133 , ari 0.9183
Iter 253 :Acc 0.9617 , nmi 0.9135 , ari 0.9185
Iter 254 :Acc 0.9615 , nmi 0.9132 , ari 0.9181
Iter 255 :Acc 0.9615 , nmi 0.9132 , ari 0.9181
Iter 256 :Acc 0.9615 , nmi 0.9132 , ari 0.9182
Iter 257 :Acc 0.9616 , nmi 0.9133 , ari 0.9183
Iter 258 :Acc 0.9616 , nmi 0.9134 , ari 0.9183
Iter 259 :Acc 0.9615 , nmi 0.9131 , ari 0.9181
Iter 260 :Acc 0.9615 , nmi 0.9132 , ari 0.9181
Iter 261 :Acc 0.9615 , nmi 0.9132 , ari 0.9182
Iter 262 :Acc 0.9618 , nmi 0.9138 , ari 0.9188
Iter 263 :Acc 0.9618 , nmi 0.9138 , ari 0.9188
Iter 264 :Acc 0.9616 , nmi 0.9133 , ari 0.9184
Iter 265 :Acc 0.9615 , nmi 0.9131 , ari 0.9181
Iter 266 :Acc 0.9617 , nmi 0.9137 , ari 0.9186
Iter 267 :Acc 0.9617 , nmi 0.9134 , ari 0.9185
Iter 268 :Acc 0.9616 , nmi 0.9135 , ari 0.9185
Iter 269 :Acc 0.9615 , nmi 0.9131 , ari 0.9182
Iter 270 :Acc 0.9616 , nmi 0.9133 , ari 0.9184
Iter 271 :Acc 0.9615 , nmi 0.9132 , ari 0.9182
Iter 272 :Acc 0.9616 , nmi 0.9134 , ari 0.9183
Iter 273 :Acc 0.9616 , nmi 0.9134 , ari 0.9183
Iter 274 :Acc 0.9618 , nmi 0.9138 , ari 0.9188
Iter 275 :Acc 0.9618 , nmi 0.9136 , ari 0.9187
Iter 276 :Acc 0.9618 , nmi 0.9137 , ari 0.9187
Iter 277 :Acc 0.9617 , nmi 0.9136 , ari 0.9186
Iter 278 :Acc 0.9618 , nmi 0.9137 , ari 0.9188
Iter 279 :Acc 0.9617 , nmi 0.9135 , ari 0.9185
Iter 280 :Acc 0.9617 , nmi 0.9136 , ari 0.9186
Iter 281 :Acc 0.9618 , nmi 0.9137 , ari 0.9187
Iter 282 :Acc 0.9619 , nmi 0.9139 , ari 0.9190
Iter 283 :Acc 0.9617 , nmi 0.9135 , ari 0.9186
Iter 284 :Acc 0.9617 , nmi 0.9135 , ari 0.9185
Iter 285 :Acc 0.9618 , nmi 0.9139 , ari 0.9189
Iter 286 :Acc 0.9618 , nmi 0.9137 , ari 0.9188
